INFO : 05-20 10:22 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	Valid Loss: 0.670661	AUC: 0.496826
INFO : 05-20 10:22 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	KSVectorLoss: 0.0281913
INFO : 05-20 10:22 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 400	W1: 0.00261552	W2: 2.25878e-05
INFO : 05-20 10:22 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.497273 at epoch 270
INFO : 05-20 10:22 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:22 5m 17s passed ( - 21m 9s til 20:44) (400epoch 20.0%)
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 500	Train Loss: 0.665876	AUC: 0.530741
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 500	Valid Loss: 0.670433	AUC: 0.496543
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 500	KSVectorLoss: 0.0280164
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 500	W1: 0.00299512	W2: 2.93157e-05
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.497273 at epoch 270
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| Early stopping.
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| Loading model /code/output/config/20_05_13_Science_v10_baseline/checkpoints/20200520-1004/f2_best.model
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| test_dl.dataset size: 640
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| Starting test
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| 	Test Loss: 0.673098	AUC: 0.509304
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| 	Test KSV AUC: 0.977063
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| 	W1: 0.00141255	W2: 6.57766e-06
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| RP soft 	 good:bad = 88:90
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| RP hard 	 nDCG = 0.7840±0.1607
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| The model has 525,926 trainable parameters
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| train_dl.dataset size: 2048
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| valid_dl.dataset size: 512
INFO : 05-20 10:24 : ksdkt/20_05_13_Science_v10_baseline 	| Starting train
INFO : 05-20 10:26 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	Train Loss: 0.68531	AUC: 0.517387
INFO : 05-20 10:26 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	Valid Loss: 0.6849	AUC: 0.502501
INFO : 05-20 10:26 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	KSVectorLoss: 0.029219
INFO : 05-20 10:26 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	W1: 0.000545552	W2: 5.97039e-07
INFO : 05-20 10:26 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.504761 at epoch 10
INFO : 05-20 10:26 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:26 1m 18s passed ( - 25m 0s til 05:11) (100epoch 5.0%)
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	Train Loss: 0.678096	AUC: 0.52394
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	Valid Loss: 0.677185	AUC: 0.500047
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	KSVectorLoss: 0.0289151
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	W1: 0.000835644	W2: 1.99382e-06
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.504761 at epoch 10
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| Early stopping.
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| Loading model /code/output/config/20_05_13_Science_v10_baseline/checkpoints/20200520-1004/f3_best.model
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| test_dl.dataset size: 640
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| Starting test
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| 	Test Loss: 0.692743	AUC: 0.498261
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| 	Test KSV AUC: 0.97657
INFO : 05-20 10:27 : ksdkt/20_05_13_Science_v10_baseline 	| 	W1: 0.000477112	W2: 4.01217e-07
INFO : 05-20 10:28 : ksdkt/20_05_13_Science_v10_baseline 	| RP soft 	 good:bad = 90:88
INFO : 05-20 10:28 : ksdkt/20_05_13_Science_v10_baseline 	| RP hard 	 nDCG = 0.7872±0.1607
INFO : 05-20 10:28 : ksdkt/20_05_13_Science_v10_baseline 	| The model has 525,926 trainable parameters
INFO : 05-20 10:28 : ksdkt/20_05_13_Science_v10_baseline 	| train_dl.dataset size: 2048
INFO : 05-20 10:28 : ksdkt/20_05_13_Science_v10_baseline 	| valid_dl.dataset size: 512
INFO : 05-20 10:28 : ksdkt/20_05_13_Science_v10_baseline 	| Starting train
INFO : 05-20 10:29 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	Train Loss: 0.685304	AUC: 0.513221
INFO : 05-20 10:29 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	Valid Loss: 0.686738	AUC: 0.487491
INFO : 05-20 10:29 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	KSVectorLoss: 0.0292738
INFO : 05-20 10:29 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 100	W1: 0.000560955	W2: 6.51217e-07
INFO : 05-20 10:29 : ksdkt/20_05_13_Science_v10_baseline 	| Best AUC 0.489506 at epoch 10
INFO : 05-20 10:29 : ksdkt/20_05_13_Science_v10_baseline 	| At 10:29 1m 20s passed ( - 25m 30s til 08:04) (100epoch 5.0%)
INFO : 05-20 10:30 : ksdkt/20_05_13_Science_v10_baseline 	| 	Epoch 200	Train Loss: 0.677242	AUC: 0.522615
